--- Analyzing Designations by Continent (Percentages) ---

  Designation: B.1.13.NmC2, Percentage: 14.58%
  Designation: A.1.NmC3, Percentage: 4.17%
  Designation: B.1, Percentage: 4.17%
  Designation: A, Percentage: 2.08%
  Designation: A.2.1, Percentage: 2.08%
  Designation: B.1.17.NmC2, Percentage: 2.08%
  Designation: B.1.17.NmC3, Percentage: 2.08%
  Designation: B.1.3.NmC2, Percentage: 2.08%
  Designation: B.1.NmC4, Percentage: 2.08%

Country:  South Africa (Total observed designations in this group: 9)
  Designation: F.3, Percentage: 77.78%
  Designation: A.1.NmC1, Percentage: 11.11%
  Designation: B.1, Percentage: 11.11%

Country:  South Korea (Total observed designations in this group: 56)
  Designation: C.1.NmC2, Percentage: 55.36%
  Designation: C.1, Percentage: 30.36%
  Designation: A.2.1, Percentage: 5.36%
  Designation: B.1.1, Percentage: 3.57%
  Designation: C.1.NmC1, Percentage: 3.57%
  Designation: B.1.3.NmC2, Percentage: 1.79%

Country:  Spain (Total observed designations in this group: 20)
  Designation: B.1.13.NmC1, Percentage: 30.00%
  Designation: B.1.1, Percentage: 15.00%
  Designation: B.1.13, Percentage: 10.00%
  Designation: B.1.3, Percentage: 10.00%
  Designation: B.1.NmC5, Percentage: 10.00%
  Designation: B.1.NmC6, Percentage: 10.00%
  Designation: B.1, Percentage: 5.00%
  Designation: B.1.8, Percentage: 5.00%
  Designation: B.1.NmC2, Percentage: 5.00%

Country:  Sweden (Total observed designations in this group: 1)
  Designation: B.1.NmC4, Percentage: 100.00%

Country:  Switzerland (Total observed designations in this group: 8)
  Designation: B.1.NmC7, Percentage: 37.50%
  Designation: B.1.13.NmC1, Percentage: 25.00%
  Designation: B.1.1, Percentage: 12.50%
  Designation: B.1.13, Percentage: 12.50%
  Designation: B.1.3.NmC2, Percentage: 12.50%

Country:  Taiwan (Total observed designations in this group: 10)
  Designation: B.1.13.NmC1, Percentage: 20.00%
  Designation: B.1.NmC7, Percentage: 20.00%
  Designation: A.1.NmC2, Percentage: 10.00%
  Designation: B.1.13, Percentage: 10.00%
  Designation: B.1.13.NmC3, Percentage: 10.00%
  Designation: B.1.NmC3, Percentage: 10.00%
